sample_ID,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Izemoplasmatales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,label
H26686,-0.439600141136134,-0.22311622560986033,-0.066663756522763,-0.2999913336023214,-0.1623184993468083,-0.6334978228473812,-0.5143574004479246,-0.07711677143645099,0.11614261444081653,-0.215405450770921,-0.20193620657905262,-0.08288852089861078,0.4543280844777789,-0.17492202448062513,-0.25765040273241013,-0.34820265362532055,-0.23996029690780535,0.23629490402581002,-0.5231256389156779,-0.1978591872453851,-0.14372769326306178,18.086703070584136,-0.22000829290791946,0.07341529652000015,-0.5320882154359086,0.09298633447866342,-0.0026483794465710013,0.43308002061655704,-0.2994549292431423,0.6264039785722663,-0.4069751445533475,-0.1948787195042238,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.0435866313526898,-0.27818490528768863,-0.24533123448645386,-0.0966493665947619,-0.24875441359133216,0
H26688,0.14750940200645582,-0.34274884408369977,0.03043181653694492,0.17043303259401954,-0.1623184993468083,-0.5060768208086281,0.5957220413453161,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.2719125288001413,-0.08288852089861078,-0.25018998439255263,-0.03556819904457705,-0.17774483544725692,-0.34820265362532055,0.029942689753766277,-0.4958910603708602,-0.4436799489204683,0.1389073199963239,0.6279639105086464,-0.23185419539757715,-0.22000829290791946,-0.5100214767742965,0.7789242974052655,-0.14369582581064716,-0.0026483794465710013,-0.33450018092371325,-0.2994549292431423,-0.08249393923251971,-0.3880227024908244,-0.6345166623796813,-0.15207106732464212,-0.18913860419079034,1.2241204693914243,-0.1706119507457594,0.2328707672437811,-0.2378672298873489,-0.07616580303990361,-0.24875441359133216,1
H26690,0.6507461532715328,-0.34274884408369977,0.23849375880774762,-0.2999913336023214,-0.1623184993468083,0.5757996115958797,-1.0761403772750024,-0.17668623893052643,-0.08032435408177205,2.6844344258293433,-0.34727164503823676,-0.06867307339484424,1.0542147569812295,-0.17492202448062513,-0.24923929038660456,-0.34820265362532055,0.4797810008563857,-0.24485587257771615,0.001960718396410065,-0.18583181198675264,-0.229975578390488,-0.026027709262951143,-0.22000829290791946,1.1604303475691167,0.47261296262929026,0.3685993921613559,-0.24305409118108073,0.22373996565102874,-0.2994549292431423,-0.08249393923251971,-0.32063624182407546,-0.6353803911476095,-0.15207106732464212,3.0488256408348255,0.7100377309969154,-0.3185899001418096,-0.49320223092592896,-0.22443202160895998,-0.07616580303990361,-0.24875441359133216,4
H26691,-0.439600141136134,-0.10348360713602091,-0.066663756522763,-0.2999913336023214,-0.1623184993468083,-0.5950311052507765,-0.36368050931218515,-0.20987606142855156,-0.08032435408177205,-0.08470844224809217,-0.04045238606884803,-0.08288852089861078,-0.6338384377377827,-0.17492202448062513,-0.31793004121068363,-0.18624802733673812,-0.23996029690780535,-0.4279023636768837,-0.42754254314019136,-0.07758543465906045,-0.2980660140174034,-0.23185419539757715,-0.22000829290791946,-0.9407875968313578,-0.5504668955224671,-0.4095761591449942,-0.29113523352798265,-0.4159102022991965,-0.2994549292431423,0.15380536670240896,-0.4069751445533475,-0.08173025090562867,-0.15207106732464212,-0.18913860419079034,-0.14676683299393273,-0.15882609636908285,-0.491644134363333,-0.22741762344860197,-0.0966493665947619,-0.24875441359133216,0
H26692,-0.439600141136134,0.13578162981165798,-0.03892216421998931,-0.14318321153687438,-0.1623184993468083,-0.5373310288558695,-0.7340945333542113,-0.24306588392657671,-0.031207611951124908,-0.1663940725748602,0.18562496264543843,0.1303431916578873,-0.555364890462622,-0.17492202448062513,-0.26185595890531294,-0.34820265362532055,0.3898133386358618,-0.4976343602860904,-0.4871268106365985,-0.1978591872453851,-0.2980660140174034,-0.23185419539757715,-0.22000829290791946,-0.9858841590183567,-0.3237965077882454,-0.15121656735255048,-0.48345980291559043,0.2702599778655906,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,-0.6142190363333684,0.07110115937152146,0.0013298808107164756,0.3673159054005761,-0.25180339200730906,-0.4812568239460267,0.042779343038997344,-0.05568223948504533,-0.24875441359133216,0
H26693,0.06363661012894299,-0.34274884408369977,-0.066663756522763,0.17043303259401954,-0.1623184993468083,-0.6431145022465324,-0.46389924400277727,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.3526544390552436,-0.08288852089861078,-0.6059367320399478,-0.17492202448062513,0.6381330620958868,-0.34820265362532055,0.029942689753766277,-0.5202972591840825,-0.5231256389156779,-0.1978591872453851,-0.19366067938946643,-0.23185419539757715,-0.22000829290791946,-0.7970423048602993,-0.14613593361817975,-0.3905531070095916,-0.48345980291559043,-0.21820015038730867,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,3.635758366257375,-0.15207106732464212,0.1917983658122233,-0.14676683299393273,-0.41418627453040835,-0.28052205013158255,2.450667226710255,-0.0608031303737599,-0.24875441359133216,0
H26694,2.160456407066764,0.01614901133781853,0.03043181653694492,1.2680898870521484,-0.1623184993468083,0.42193274120946084,-1.441671353919111,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.3526544390552436,-0.08288852089861078,-0.05662190111382294,-0.17492202448062513,1.775035080837278,-0.34464321128930775,0.5697486630769096,-0.5778261563866781,-0.5231256389156779,-0.1978591872453851,-0.288987289267148,0.17979877687167486,-0.22000829290791946,1.4394653261011716,0.8891963779246166,-1.3089683682443742,-0.48345980291559043,-0.4391702084064774,-0.2994549292431423,-0.08249393923251971,-0.4006576638658398,-0.5105715841819836,-0.15207106732464212,1.9060147308257844,0.19595499260240654,-0.3749000932748198,-0.41218120967093985,-0.24682403540627484,-0.05568223948504533,0.10910768363994812,1
H26695,-0.020236181748569844,0.4946794852331763,-0.066663756522763,1.5817061311830423,-0.1623184993468083,-0.6767728801435615,-0.656198301054099,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.3526544390552436,-0.08288852089861078,-0.478635199793576,-0.17492202448062513,0.6016849085973959,-0.34642293245731415,-0.0600249724667576,-0.5795694563019083,-0.49954019969835,-0.1978591872453851,-0.23905430314074338,-0.23185419539757715,-0.22000829290791946,3.2329931847466025,0.0008935070742883659,-1.0944060360194854,-0.48345980291559043,-0.4624302145137583,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,1.9203930331519556,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.4115671957800358,-0.22183374627380198,-0.24682403540627484,-0.0966493665947619,-0.24875441359133216,0
H26697,-0.18798176550359552,-0.10348360713602091,-0.03892216421998931,-0.2999913336023214,0.04341261732775995,-0.44116423486435763,-0.3515891538506752,-0.24306588392657671,-0.031207611951124908,-0.19089976167289058,-0.3526544390552436,-0.08288852089861078,-0.2344952749375205,-0.17492202448062513,-0.2940985562309011,-0.09014308426439248,-0.14999263468728147,-0.24311257266248598,0.3011233947846209,0.1870168210308538,-0.2980660140174034,-0.23185419539757715,-0.22000829290791946,-0.10650119637188041,-0.4463210416986355,0.17482969831702314,0.9589744674914679,-0.4973202236746797,-0.2994549292431423,0.6264039785722663,-0.39012852938666026,-0.6543824240420301,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.37751917202519236,-0.06472567621204425,-0.24383843356663287,-0.0966493665947619,-0.24875441359133216,0
H26699,-0.439600141136134,-0.34274884408369977,-0.066663756522763,0.01362491052857257,1.2777993173751694,-0.23921396748218282,-1.6318776763713252,0.5534898560260268,0.11614261444081653,-0.215405450770921,-0.29344370486816856,-0.08288852089861078,-0.48212291300580534,-0.17492202448062513,-0.23241706569499335,-0.34820265362532055,0.29984567641533794,-0.576082856471448,-0.441197271108118,-0.1978591872453851,-0.15280641801331718,-0.23185419539757715,-0.22000829290791946,1.2313634818424168,-0.6546127493462987,-1.3748854558763506,-0.48345980291559043,-0.6136202542110842,-0.2994549292431423,-0.08249393923251971,-0.4069751445533475,0.4438487043786854,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.3932336445274278,-0.14029335949794755,-0.23338882712788592,-0.0966493665947619,1.1826939753337888,0
H26700,-0.439600141136134,-0.34274884408369977,-0.066663756522763,-0.2999913336023214,0.4548748506768965,-0.7176437675899541,0.5606106052936238,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.3526544390552436,-0.08288852089861078,-0.49607376585472285,-0.17492202448062513,-0.2983041124038039,-0.34820265362532055,-0.23996029690780535,-0.4662549618119474,2.1432703315485413,-0.1978591872453851,-0.2662904773915095,-0.23185419539757715,-0.22000829290791946,2.2258366292369627,-0.13388348022714075,-0.49053472986077706,-0.48345980291559043,-0.5554702389428819,-0.2994549292431423,-0.08249393923251971,-0.310107107344896,-0.6543824240420301,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.3094231245155056,-0.49294254816549626,-0.24682403540627484,-0.04544045770761619,-0.24875441359133216,1
H26701,-0.18798176550359552,0.37504686675933685,-0.066663756522763,-0.2999913336023214,-0.1623184993468083,-0.48924763186011355,-0.5229608649109221,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,0.007992760084213351,-0.08288852089861078,-0.6059367320399478,-0.17492202448062513,-0.3445652303057347,-0.34820265362532055,-0.23996029690780535,-0.30935796944123234,-0.3865783592364115,-0.1978591872453851,-0.2980660140174034,-0.23185419539757715,-0.22000829290791946,-0.7246999030186554,-0.5443406688269476,-0.2786267770036186,-0.38729751822178654,-0.39265019619191555,-0.2994549292431423,-0.08249393923251971,-0.39223435628249614,0.8860778335579275,-0.15207106732464212,-0.37960708919229713,0.024594079804236904,-0.04882478885343494,-0.36232211966786965,-0.23488162804770693,-0.0966493665947619,-0.24875441359133216,0
H26702,-0.439600141136134,-0.34274884408369977,-0.066663756522763,-0.2999913336023214,-0.1623184993468083,-0.5926269354009888,-0.09604300669299366,-0.24306588392657671,-0.08032435408177205,-0.215405450770921,-0.33112326298721634,-0.08288852089861078,-0.7140558416190581,-0.17492202448062513,-0.03615777762619589,-0.34464321128930775,-0.23996029690780535,-0.5080941597774714,-0.5231256389156779,-0.1978591872453851,0.5644128372568586,-0.23185419539757715,-0.22000829290791946,-0.8886446968026406,-0.15838838700921876,-0.5493734725121383,-0.29113523352798265,-0.5554702389428819,-0.2994549292431423,-0.08249393923251971,-0.40276349076167567,-0.5641227677935323,-0.15207106732464212,-0.37960708919229713,-0.14676683299393273,-0.2583510888832405,-0.3921856371176252,-0.12889276274041658,-0.08640758481733275,-0.24875441359133216,4
