Bacteria;Acidobacteriota;Aminicenantia,Bacteria;Acidobacteriota;Blastocatellia,Bacteria;Actinobacteriota;Acidimicrobiia,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Actinobacteriota;Thermoleophilia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Bdellovibrionota;Oligoflexia,Bacteria;Campilobacterota;Campylobacteria,Bacteria;Chloroflexi;Anaerolineae,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Dependentiae;Babeliae,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Desulfobacterota;Desulfuromonadia,Bacteria;Elusimicrobiota;Elusimicrobia,Bacteria;Elusimicrobiota;Lineage IIa,Bacteria;Fibrobacterota;Fibrobacteria,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Incertae Sedis,Bacteria;Firmicutes;Limnochordia,Bacteria;Firmicutes;Moorellia,Bacteria;Firmicutes;Negativicutes,Bacteria;Firmicutes;uncultured,Bacteria;Fusobacteriota;Fusobacteriia,Bacteria;Myxococcota;Polyangia,Bacteria;Myxococcota;bacteriap25,Bacteria;Nitrospirota;Nitrospiria,Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Spirochaetota;Brachyspirae,Bacteria;Spirochaetota;Spirochaetia,Bacteria;Synergistota;Synergistia,Bacteria;Verrucomicrobiota;Lentisphaeria,Bacteria;Verrucomicrobiota;Verrucomicrobiae,label
0.0,0.0,0.0,0.006185567010309278,0.10553047404063205,0.0,0.066852596177508,0.0,0.0,0.0028089887640449437,0.0,0.0,0,0.0002911208151382824,0.0,0.0,0,0.0,0.05864326507870177,0.36503969420758603,0.0,0.0,0.0,0.2034200213751336,0.0,0.0,0.0,0,0,0.0,0.03278688524590164,0.114833917887353,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.01288659793814433,0.06179458239277652,0.0,0.11634265715145052,0.0,0.0,0.0,0.0,0.009213323883770375,0,0.0020378457059679767,0.0,0.0,0,0.0,0.038863351441704976,0.181417230226404,0.0,0.0,0.0,0.006650041562759767,0.0,0.0,0.0,0,0,0.07142857142857142,0.0,0.11947596451413245,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.004123711340206186,0.11427765237020317,0.0,0.0684931506849315,0.0,0.0,0.0014044943820224719,0.0,0.0,0,0.07190684133915574,0.0,0.0,0,0.0,0.052862515670706225,0.24073801822993238,0.0,0.006711409395973154,0.0,0.01632822705141907,0.0,0.0,0.0,0,0,0.0,0.0,0.015782958531050134,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.017010309278350514,0.16281038374717832,0.0,0.31597079812976786,0.0,0.0,0.0,0.0,0.0,0,0.0005822416302765648,0.0,0.0,0,0.0,0.08552723220504249,0.18700382240517494,0.0,0.0,0.0,0.16013537584609905,0.0,0.023166023166023165,0.0,0,0,0.0,0.0,0.03414483185475552,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.005154639175257732,0.1374153498871332,0.0,0.08744155524567304,0.0,0.0,0.0,0.0,0.0,0,0.006404657933042212,0.0,0.0,0,0.0,0.04157960718763059,0.20835783593060864,0.0,0.0,0.0,0.3117800736254602,0.0,0.0,0.0,0,0,0.0,0.0,0.002393232927584073,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0010309278350515464,0.1368510158013544,0.0,0.19385885762721133,0.0,0.0,0.0,0.0,0.0,0,0.03289665211062591,0.0,0.0,0,0.0,0.03740075219389887,0.19799323728315202,0.13043478260869565,0.0,0.0,0.0007125044531528322,0.0,0.0,0.0,0,0,0.017857142857142856,0.0,0.04910253765215597,0.0,0.022222222222222223,0.0,0.0,0.057971014492753624,0.25
0.0,0.0,0.0,0.0036082474226804126,0.05248306997742664,0.0,0.14032209553495748,0.0,0.07142857142857142,0.0014044943820224719,0.0,0.0,0,0.0017467248908296944,0.0,0.0,0,0.0,0.019431675720852488,0.1544398706262864,0.0,0.0,0.0,0.0110438190238689,0.0,0.0,0.0,0,0,0.0,0.02459016393442623,0.06651537033216423,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.007216494845360825,0.2816027088036117,0.0,0.1046947201487436,0.0,0.07142857142857142,0.0,0.0,0.004961020552799433,0,0.0026200873362445414,0.0,0.0,0,0.0,0.12334586989831453,0.31884004704498675,0.0,0.0,0.0,0.0014250089063056644,0.0,0.011583011583011582,0.0,0,0,0.0,0.00819672131147541,0.009614194347018774,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0015463917525773195,0.04796839729119639,0.0,0.11787384135837914,0.0,0.0,0.0,0.0,0.0,0,0.004657933042212519,0.0,0.0,0,0.0,0.006825463156428472,0.12209644222287562,0.0,0.006711409395973154,0.0,0.07000356252226576,0.0,0.0,0.0,0,0,0.0,0.00819672131147541,0.008149370744790592,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.009029345372460496,0.0,0.0451152489541465,0.0,0.0,0.0,0.0,0.01700921332388377,0,0.0,0.0,0.0,0,0.0,0.035172029530575286,0.2171420170538077,0.0,0.0,0.0,0.08823180144875906,0.0,0.0,0.0,0,0,0.0,0.00819672131147541,0.003507324118011141,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.003092783505154639,0.05417607223476298,0.0,0.21740081480873868,0.0,0.0,0.0,0.0,0.004961020552799433,0,0.045414847161572056,0.0,0.0,0,0.0,0.05153921158935785,0.1943546015877683,0.0,0.0,0.0,0.02458140363377271,0.0,0.003861003861003861,0.0,0,0,0.0,0.0,0.004910253765215597,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.014948453608247423,0.0744920993227991,0.0,0.17660569272414076,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.033082602033709434,0.11213613643046162,0.0,0.0,0.0,0.048747179669872936,0.0,0.0,0.0,0,0,0.08928571428571429,0.0,0.016814524448112236,0.0,0.0,0.0,0.0,0.043478260869565216,0.25
0.0,0.0,0.0,0.013917525773195877,0.09085778781038374,0.0,0.09558964263254313,0.0,0.0,0.012640449438202247,0.0,0.0,0,0.0026200873362445414,0.0,0.0,0,0.0,0.021242512884802896,0.1700235224933843,0.014492753623188406,0.0,0.0,0.005343783398646241,0.0,0.0,0.0,0,0,0.10714285714285714,0.0,0.0055498246337941,0.0,0.0,0.0,0.0,0.014492753623188406,0.0
0.0,0.0,0.0,0.0010309278350515464,0.09424379232505643,0.0,0.08312142837612446,0.0,0.0,0.0,0.0,0.019844082211197732,0,0.0005822416302765648,0.0,0.0,0,0.0,0.03865440869201839,0.16763451925904146,0.028985507246376812,0.0,0.0,0.03117206982543641,0.0,0.0,0.0,0,0,0.0,0.0,0.0005157829585310501,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.002061855670103093,0.1994920993227991,0.0,0.11579580564897603,0.0,0.0,0.0,0.0,0.0,0,0.007860262008733625,0.0,0.0,0,0.0,0.04575846218136231,0.14227433107909437,0.0,0.0,0.0,0.0019000118750742193,0.0,0.0,0.0,0,0,0.16071428571428573,0.0,0.003466061481328657,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.003092783505154639,0.08493227990970655,0.0,0.055013261148935004,0.0,0.0,0.0,0.0,0.0,0,0.030858806404657935,0.0,0.0,0,0.0,0.040952778938570834,0.15572625698324022,0.0,0.0,0.0,0.11702885643035268,0.0,0.0,0.043478260869565216,0,0,0.0,0.0,0.03261811429750361,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.010824742268041237,0.08098194130925508,0.0,0.2568561507122741,0.0,0.0,0.0,0.0,0.0,0,0.01222707423580786,0.0,0.0,0,0.0,0.05348934391976599,0.1601734783887092,0.0,0.0,0.0,0.012646954043462772,0.0,0.0,0.043478260869565216,0,0,0.0,0.0,0.06591706210026821,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0443298969072165,0.017776523702031602,0.0,0.07994968966177235,0.0,0.0,0.0,0.0,0.0,0,0.010771470160116448,0.0,0.0,0,0.0,0.12717648697590195,0.20527050867391944,0.0,0.0,0.0,0.4575466096663104,0.0,0.011583011583011582,0.0,0,0,0.17857142857142858,0.0,0.02488136991953786,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.005670103092783505,0.06405191873589165,0.0,0.13829874497580183,0.0,0.0,0.0,0.0,0.0,0,0.008151382823871907,0.0,0.0,0,0.0,0.13999164229001254,0.23812849162011174,0.0,0.026845637583892617,0.0,0.1538415865099157,0.0,0.0,0.0,0,0,0.0,0.0,0.006333814730761295,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.125,0.0036082474226804126,0.02708803611738149,0.0,0.2100456621004566,0.0,0.0,0.0,0.0,0.0,0,0.0002911208151382824,0.0,0.0,0,0.0,0.04617634768073548,0.1380476330491032,0.0,0.0,0.0,0.032359577247357794,0.0,0.0,0.0,0,0,0.0,0.0,0.052321023313389725,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.004123711340206186,0.1281038374717833,0.0,0.15855959314248216,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.10809304917119376,0.3168185827697736,0.0,0.0,0.0,0.06281914261964137,0.0,0.0,0.0,0,0,0.10714285714285714,0.0,0.020404373839488343,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.003092783505154639,0.042042889390519186,0.0,0.1740354906625106,0.0,0.0,0.0014044943820224719,0.0,0.0,0,0.021251819505094614,0.0,0.0,0,0.0,0.01239726981473743,0.12918994413407822,0.0,0.0,0.0,0.050884693029331435,0.0,0.0,0.0,0,0,0.0,0.00819672131147541,0.013719826696925933,0.0,0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.002577319587628866,0.012415349887133182,0.0,0.20433106389959807,0.0,0.0,0.0028089887640449437,0.0,0.0,0,0.017467248908296942,0.0,0.0,0,0.0,0.029321632539350884,0.12055277859453102,0.0,0.006711409395973154,0.0,0.05426908918180739,0.0,0.0,0.0,0,0,0.0,0.0,0.04375902620177429,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0005154639175257732,0.024548532731376974,0.0,0.19823366964700737,0.0,0.0,0.0,0.0,0.0,0,0.027074235807860263,0.0,0.0,0,0.0,0.02347123554812648,0.2110776242281682,0.014492753623188406,0.013422818791946308,0.0,0.0017218857617860113,0.0,0.003861003861003861,0.0,0,0,0.0,0.0,0.016340004126263668,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.011855670103092783,0.1038374717832957,0.0,0.13909167965438984,0.0,0.0,0.0,0.0,0.00035435861091424523,0,0.03289665211062591,0.0,0.0,0,0.0,0.039908065190137905,0.2523154954425169,0.0,0.0,0.0,0.06940980881130507,0.0,0.0,0.0,0,0,0.017857142857142856,0.0,0.04344955642665566,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.021134020618556702,0.11060948081264109,0.0,0.1978508735952752,0.0,0.0,0.0028089887640449437,0.0,0.006732813607370659,0,0.07045123726346433,0.0,0.0,0,0.0,0.07431397130519571,0.1892458100558659,0.0,0.0,0.0,0.021493884336777104,0.0,0.0,0.0,0,0,0.0,0.0,0.019579121105838662,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0010309278350515464,0.06376975169300225,0.0,0.19623766166297543,0.0,0.0,0.0,0.0,0.0,0,0.02794759825327511,0.0,0.0,0,0.0,0.018665552305335006,0.13870920317553662,0.0,0.0,0.0,0.05213157582234889,0.0,0.0,0.043478260869565216,0,0,0.0,0.0,0.003321642252939963,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0036082474226804126,0.06292325056433408,0.0,0.14726710961638367,0.0,0.0,0.0,0.0,0.0,0,0.5970887918486172,0.0,0.0,0,0.0,0.0404652458559688,0.11845780652749191,0.0,0.0,0.0,0.03693148082175514,0.0,0.0,0.0,0,0,0.0,0.0,0.06742314833917887,0.0,0.0,0.0,0.0,0.21739130434782608,0.0
0.0,0.0,0.0,0.004639175257731959,0.14785553047404063,0.0,0.07748885790063709,0.0,0.0,0.0,0.0,0.0,0,0.033770014556040756,0.0,0.0,0,0.0,0.10614291684078563,0.14039988238753306,0.0,0.0,0.0,0.01816886355539722,0.0,0.0,0.0,0,0,0.017857142857142856,0.0,0.00565298122550031,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0,0.020033860045146727,0.0,0.13258414677494326,0.0,0.0,0.0,0.0,0.0,0,0.009898107714701601,0.0,0.0,0,0.0,0.0021590750800947207,0.15414583945898266,0.0,0.0,0.0,0.03515021968887305,0.0,0.0,0.0,0,0,0.0,0.0,0.005219723540334228,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0015463917525773195,0.02200902934537246,0.0,0.23585705301725315,0.0,0.0,0.0,0.0,0.0,0,0.22678311499272197,0.0,0.0,0,0.0,0.06769745089845382,0.13918700382240518,0.0,0.0,0.0,0.1362071012943831,0.0,0.003861003861003861,0.0,0,0,0.03571428571428571,0.0,0.0032391169795749947,0.0,0.0,0.0,0.0,0.0,0.0
